duration,protocol_type,service,flag,src_bytes,dst_bytes,num_failed_logins,logged_in,count,serror_rate,rerror_rate,label,attack_cat
2.2294516009747305,tcp,ftp,SF,1604,2563,0,1,21,0.05657815548409964,0.09291447172116873,normal,normal
0.0,tcp,http,S0,36,0,0,0,391,0.886222481019401,0.0,neptune,dos
0.0,tcp,http,S0,10,0,0,0,504,0.8664411141894643,0.0,neptune,dos
3.478226785031339,tcp,ftp,SF,1129,3318,0,1,28,0.08481092350156301,0.09471614629002478,normal,normal
21.61564097437392,udp,http,SF,2205,5488,0,1,32,0.05430214308667641,0.034688597636438556,normal,normal
5.720714215723587,udp,http,SF,4991,5092,0,1,48,0.08345717902556277,0.09354845135274958,normal,normal
2.0546704536450706,tcp,ssh,SF,4332,4562,0,1,12,0.027294999473148784,0.03414252696042983,normal,normal
5.956191057306981,icmp,http,SF,3149,1196,0,1,40,0.05778911126940883,0.09043597749938573,normal,normal
17.005002871341645,udp,http,SF,4655,4300,0,1,26,0.07171205684721936,0.08561324990137435,normal,normal
4.412509174361885,udp,http,SF,228,1369,0,1,30,0.0940220805571285,0.060379699192909614,normal,normal
19.88764169398766,udp,http,SF,2441,5984,0,1,46,0.0596081955238306,0.043384392285524424,normal,normal
1.7961186621831353,tcp,ftp,SF,1426,570,0,1,18,0.010585323587790886,0.08730193940297161,normal,normal
7.405386667995984,udp,http,SF,1108,3883,0,1,5,0.009873720688266585,0.007566110390411085,normal,normal
4.486984431276993,tcp,ftp,SF,2899,5733,0,1,30,0.08634657303414633,0.022306206154275688,normal,normal
0.0,tcp,smtp,S1,71,0,0,0,419,0.9967134413027325,0.0,neptune,dos
0.3006603794543842,icmp,private,SF,246,30,0,0,12,0.3094345940885812,0.20912993634686475,ipsweep,probe
45.499025488388575,tcp,http,SF,1549,4600,0,1,22,0.047735039812240136,0.03508191093350156,normal,normal
0.45029480487298235,icmp,eco_i,SF,144,37,0,0,14,0.4651569778946302,0.3828440860705029,ipsweep,probe
2.0171526601788035,tcp,ftp,SF,368,1876,0,1,35,0.0016756304492382412,0.06791991512011694,normal,normal
0.7965839483417742,tcp,ftp,S0,1085,3703,0,1,18,0.033210978330812456,0.09281018355097866,normal,normal
18.634423465434416,tcp,http,SF,4770,7758,0,1,35,0.007680304831442154,0.03546662049850829,normal,normal
0.0,tcp,private,S0,47,0,0,0,243,0.9629342009419979,0.0,neptune,dos
9.463145189701983,tcp,http,SF,4995,7431,0,1,14,0.027809951506635646,0.021695624586387952,normal,normal
3.396848759186314,tcp,http,SF,4624,7101,0,1,45,0.07101147663372794,0.00957290547443973,normal,normal
0.7645561275038893,tcp,http,S1,69550,300,0,1,7,0.04408920084908379,0.17723635442586905,back,dos
27.227189759620636,icmp,ftp,SF,4166,2945,0,1,18,0.004305240271566857,0.07809638636444353,normal,normal
0.5078763005619639,tcp,http,REJ,349,5,1,0,29,0.2725206825364058,0.28952024269151755,portsweep,probe
24.65818778071359,tcp,smtp,SF,707,4652,0,1,20,0.02152044797331928,0.08843551504557536,normal,normal
1.6392603181917675,tcp,http,S1,80442,500,0,1,4,0.06486916153901115,0.0467793862944407,back,dos
2.368447704086039,udp,smtp,SF,1316,4151,0,1,11,0.04544031544799529,0.0780189268482995,normal,normal
60.41841314849344,tcp,http,SF,940,1914,0,1,47,0.04198486976863176,0.04968955185000489,normal,normal
24.88216700377048,udp,http,SF,4690,3196,0,1,42,0.008412766225938284,0.03931039075594011,normal,normal
